gene	common
SL4231	adiC
SL0664	nagC
SL4006	
SL2747	
SL0849	ybjC
SL2855	hilD
SL3426	yheS
SL4366	iolH
SL0134	lpxC
SL2898	ygbI
SL0879	ybjX
SL1099	dinI
SL2412	
SL1666	ispZ
SL2457	
SL0846	
SL2464	ppk
SL2120	yegU
SL0839	dacC
SL0627	mrdB
SL1395	add
SL3589	yhjU
SL3365	yhdV
SL0275	sciN
SL0426	phnX
SL0820	pflE
SL1075	ycdZ
SL1287	ydiR
SL1589	ydaL
SL2091	wcaB
SL2097	asmA
SL2744	
SL2770	
SL2839	fhlA
SL3054	speB
SL3278	nlp
SL3519	ugpQ
SL4101	thiF
SL4436	
SL3170	glgS
SL0635	rlpB
SL3651	mtlD
SL1392	ydgK
SL0418	xseB
SL3511	yhhX
SL2232	eco
STnc3970	
SL1433	ynfB
SL4281	yjeA
SL2811	mltB
SL2485	gcpE
SL2938	rumA
SL1686	ychJ
SL4511	yjjX
STnc4230	
SL2257	
SL4290	yjeF
SL0761	ybhA
SL2119	yegT
SL1004	pqiB
SL2730	
SL3844	asnA
SL0301	
SL1350	ssaO
SL3228	
SL2177	lysP
SL3504	glgX
SL4368	pmbA
SL2304	yfbU
SL0483	aes
SL2211	
SL4237	fumB
SL2601	rseC
SL2911	ygbE
SL1276	
SL1709	ychM
SL3263	
SL1205	yeaS
SL2387	yfeR
SL1919	vsr
SL1933	
SL3657	lctP
SL3559	prlC
SL1829	ruvA
SL3586	yhjR
SL1104	rimJ
SL2133	yehR
SL2568	
SL0045	yaaY
SL0263	sciD
SL4104	rsd
SL2558	
SL1173	ymfB
SL1623	sapB
SL3492	glpE
SL1387	rnfG
SL4105	nudC
SL4076	yijC
SL3770	dsdA
SL3034	pepP
SL0352	mod
SL2090	wcaC
SL2422	eutA
SL4210	yjcH
SL3951A	yshB
SL0477	dnaX
SL1542	
SL3964	yihP
SL2546	gogB
SL3137	yqhC
SL0899	lolA
SL0235	ldcC
SL3486	rtcB
SL3532	livJ
SL1003	pqiA
SL3156	yqiA
SL3950	yihI
SL0389	araJ
SL0051	
SL3700	rph
SL0254	yafE
SL0697	fimB
SL1314	orf32
SL3073	iclR
SL4098	thiH
STnc3090	
SL3673A	
SL3107	
SL4037	yiiU
SL1016	mgsA
STnc3280	
SL2178	yeiE
SL1588	
SL3180	ygiH
SL4433	
SL1656	trpC
SL0164	pdxAb
SL3526	livF
SL2056	wzzB
STnc700	
SL3069	yggJ
SL0756	modE
SL2509	
SL4306	yjfK
SL1054	scsC
SL2538	yfhL
SL1778	
SL0386	yaiE
SL2896	ygbK
SL2701	
SL3574	yhjE
SL1507	narU
SL2747A	
SL4316	sgaT
SL4380	relE
STnc2040	
SL0396	malZ
SL3893	hemC
SL3115	
SL0616	pagP
SL1609	mppA
SL0439	yajG
SL0464	ylaC
SL1508	narZ
SL1681	tdk
SL2391	zipA
CsrC	
SL0274	sciK1
SL0310	
SL1918	yedA
SL2014	pduA
SL2308	yfcC
SL1787	
SL1643	ribA
SL3066	galP
SL1462	hyaF2
STnc1860	
SL1825	znuA
SL1257	yniC
SL4424	
SL3470	greB
SL4048	metJ
SL3269	ftsJ
SL4382	nrdD
SL0890	
