Systematic ID	Length (nt)	Gene name	Strand	Start	End	Gene synonym	LT2 orthologue	14028 orthologue	ST4-74 orthologue	UK-1 orthologue	D23580 orthologue	EMBL product	Genbank product	Genbank note	PubMed ID
SL0001	87	thrL	+	169	255		STM0001	STM14_0001	STM474_0001	STMUK_0001	STMMW_00001	thr operon leader peptide			
SL0002	2463	thrA	+	337	2799		STM0002	STM14_0002	STM474_0002	STMUK_0002	STMMW_00011	aspartokinase I/homoserine dehydrogenase I	bifunctional aspartokinase I/homoserine dehydrogenase I	multifunctional homotetrameric enzyme that catalyzes the phosphorylation of aspartate to form aspartyl-4-phosphate as well as conversion of aspartate semialdehyde to homoserine; functions in a number of amino acid biosynthetic pathways	
SL0003	930	thrB	+	2801	3730		STM0003	STM14_0003	STM474_0003	STMUK_0003	STMMW_00021	Homoserine kinase		catalyzes the formation of O-phospho-L-homoserine from L-homoserine in threonine biosynthesis from asparate	
SL0004	1287	thrC	+	3734	5020		STM0004	STM14_0004	STM474_0004	STMUK_0004	STMMW_00031	threonine synthase		catalyzes the formation of L-threonine from O-phospho-L-homoserine	
SL0005	774	yaaA	-	5114	5887		STM0005	STM14_0005	STM474_0005	STMUK_0005	STMMW_00041	conserved hypothetical protein			
SL0006	1431	yaaJ	-	5966	7396		STM0006	STM14_0006	STM474_0006	STMUK_0006	STMMW_00051	hypothetical amino-acid transport protein		similar to E. coli inner membrane transport protein (AAC73118.1); AGCS family	
SL0007	954	talB	+	7665	8618		STM0007	STM14_0007	STM474_0007	STMUK_0007	STMMW_00061	transaldolase B		Maintains the balance of metabolites in the pentose-phosphate pathway	
SL0008	591	mog	+	8729	9319	mogA	STM0008	STM14_0008	STM474_0008	STMUK_0008	STMMW_00071	molybdopterin biosynthesis Mog protein	molybdenum cofactor biosynthesis protein MogA	forms a trimer; related to eukaryotic protein gephyrin; functions during molybdenum cofactor biosynthesis	
SL0009	567	yaaH	-	9376	9942		STM0009	STM14_0009	STM474_0009	STMUK_0009	STMMW_00081	conserved hypothetical protein			
SL0010	714	htgA	-	10092	10805		STM0010	STM14_0010	STM474_0010	STMUK_0010	STMMW_00091	conserved hypothetical protein		similar to E. coli oxidoreductase (AAC73122.1); regulator for sigma H promoters/sigma 32 promoters permitting growth at high temperature	
SL0011	405	yaaI	-	10841	11245		STM0011	STM14_0011	STM474_0011	STMUK_0011	STMMW_00101	conserved hypothetical protein			
SL0012	1917	dnaK	+	11593	13509		STM0012	STM14_0013	STM474_0013	STMUK_0012	STMMW_00111	Chaperone protein dnaK	molecular chaperone DnaK	heat shock protein 70; assists in folding of nascent polypeptide chains; refolding of misfolded proteins; utilizes ATPase activity to help fold; co-chaperones are DnaJ and GrpE; multiple copies in some bacteria	
SL0013	1140	dnaJ	+	13595	14734		STM0013	STM14_0014	STM474_0014	STMUK_0013	STMMW_00121	DnaJ protein	chaperone protein DnaJ	"chaperone Hsp40; co-chaperone with DnaK; Participates actively in the response to hyperosmotic and heat shock by preventing the aggregation of stress-denatured proteins and by disaggregating proteins, also in an autonomous, dnaK-independent fashion"	
SL0014	948		+	15014	15961		STM0014	STM14_0016	STM474_0015	STMUK_0014	STMMW_00131	hypothetical regulatory protein		similar to E. coli transcriptional regulator LysR-type (AAC73704.1); LysR family	
SL0015	345		+	16088	16432		STM0015	STM14_0017	STM474_0016	STMUK_0015	STMMW_00141	predicted bacteriophage protein			
SL0016	534		-	16493	17026		STM0016	STM14_0018	STM474_0017	STMUK_0016	STMMW_00151	conserved hypothetical protein			
SL0017	444		-	17043	17486		STM0017	STM14_0019	STM474_0018	STMUK_0017	STMMW_00161	hypothetical membrane protein		similar to E. coli sensory transducer (AAC75886.1)	
SL0018	1884	chiA	+	18083	19966		STM0018	STM14_0022	STM474_0019	STMUK_0018	STMMW_00171	chitinase			21533114
SL0019	2997		+	20058	23054		STM0019	STM14_0023	STM474_0020	STMUK_0019	STMMW_00181	hypothetical chitinase			
SL0020	705		+	23335	24039		STM0020	STM14_0025	STM474_0021	STMUK_0020	STMMW_00191	conserved hypothetical protein			
SL0021	543	bcfA	+	24469	25011		STM0021	STM14_0028	STM474_0022	STMUK_0021	STMMW_00201	fimbrial subunit			
SL0022	687	bcfB	+	25112	25798		STM0022	STM14_0029	STM474_0023	STMUK_0022	STMMW_00211	fimbrial chaperone			
SL0023	2622	bcfC	+	25803	28424		STM0023	STM14_0030	STM474_0024	STMUK_0023	STMMW_00221	fimbrial usher protein			
